song,artist,year,peak_spotify_daily_global,tiktok_videos_millions,weeks_on_billboard_hot100,countries_charted,genre
Essence,Wizkid ft. Tems,2020,1,4.2,18,42,Afropop
Calm Down,Rema ft. Selena Gomez,2022,2,8.7,31,58,Afrorave
Love Nwantiti,CKay,2019,3,15.4,12,51,Afropop
Last Last,Burna Boy,2022,4,3.1,9,38,Afrofusion
Peru,Fireboy DML ft. Ed Sheeran,2021,5,5.6,14,44,Afropop
Ye,Burna Boy,2018,12,2.8,0,22,Afrofusion
Sungba,Asake ft. Burna Boy,2022,18,1.9,0,19,Afrobeats/Fuji
JHUS,Omah Lay ft. Justin Bieber,2021,8,6.2,7,34,Afropop
Higher,Burna Boy,2023,6,2.4,6,31,Afrofusion
Rush,Ayra Starr,2023,9,4.8,5,28,Afropop
Unavailable,Davido ft. Musa Keys,2023,11,3.3,4,27,Afropop
Sofia,Omah Lay,2020,22,1.6,0,18,Afropop
Sensational,Wizkid ft. Chris Brown,2023,14,2.1,3,24,Afropop
Ke Star,Focalistic ft. Davido,2021,28,2.7,0,16,Amapiano
Jabulani,Kabza De Small,2022,31,1.4,0,14,Amapiano
